STATE,0,1,2,3,4,5
Andaman and Nicobar Islands,0,0,0,100,0,22.23700434
Arunachal Pradesh,80.95238095,100,0,95.23809524,76.19047619,22.25333601
Andhra Pradesh,100,97.36842105,94.73684211,0,0,2.12258026
Assam,69.23076923,0,46.15384615,100,0,47.99621701
Bihar,33.33333333,16.66666667,0,100,16.66666667,43.04093421
Chandigarh,33.33333333,33.33333333,0,100,16.66666667,46.6832608
Chhattisgarh,50,0,5,20,100,34.22695994
Daman and Diu,95.12195122,100,0,0,0,14.57829028
Delhi,33.33333333,33.33333333,0,100,16.66666667,55.82767725
Dadra and Nagar Haveli,0,0,0,100,0,12.98149228
Goa,53,0,100,24,0,35.62105298
Gujarat,100,87.5,25,62.5,0,18.53736639
Himachal Pradesh,20,46.66666667,0,13.33333333,100,37.84587085
Haryana,33.33333333,66.66666667,0,33.33333333,100,45.16538382
Jharkhand,0,71.42857143,0,0,100,36.12273335
Jammu and Kashmir,0,100,51,0,81,37.10163534
Karnataka,100,40,70,0,60,22.17229754
Kerala,0,6.349206349,47.61904762,100,34.92063492,59.26604867
Maharashtra,23.07692308,0,100,84.61538462,61.53846154,56.86897635
Meghalaya,100,33.75,0,68.75,60,29.05479968
Manipur,0,100,30.43478261,0,47.82608696,24.98583347
Madhya Pradesh,0,22.58064516,6.451612903,100,41.93548387,62.80149817
Mizoram,58.13953488,0,0,0,100,20.84310204
Nagaland,31.95876289,32.98969072,100,0,52.57731959,24.22052622
Odisha,33.33333333,0,16.66666667,33.33333333,100,46.19053304
Punjab,66.66666667,0,33.33333333,66.66666667,100,41.39171541
Puducherry,100,0,0,97.91666667,0,26.86496377
Rajasthan,20,100,80,0,60,36.05593741
Sikkim,59.70149254,0,59.70149254,0,100,16.66266024
Telangana,100,87.5,87.5,87.5,0,9.737630188
Tamil Nadu,0,100,36.23188406,31.88405797,28.98550725,52.64449716
Tripura,50,100,0,50,0,15.6437546
Uttar Pradesh,57.14285714,0,42.85714286,100,28.57142857,45.49743533
Uttarakhand,9.523809524,0,9.523809524,100,76.19047619,46.6968745
West Bengal,73.91304348,0,56.52173913,43.47826087,100,40.9812063
