STATE,0,1,2,3,4,5
Andaman and Nicobar Islands,0,0,0,0,0,0
Arunachal Pradesh,22.58064516,100,38.70967742,0,100,44.15004849
Andhra Pradesh,100,94.02985075,0,68.65671642,77.6119403,36.26530468
Assam,12.5,100,70.83333333,20.83333333,0,45.55239975
Bihar,3.225806452,87.09677419,0,100,16.12903226,54.8843205
Chandigarh,100,77.94117647,50,0,14.70588235,27.97528803
Chhattisgarh,0,55.55555556,100,8.333333333,77.77777778,39.45481479
Daman and Diu,0,0,0,0,0,0
Delhi,100,47.61904762,0,57.14285714,23.80952381,34.09135342
Dadra and Nagar Haveli,0,0,0,0,0,0
Goa,96.77419355,0,100,3.225806452,67.74193548,44.86137033
Gujarat,26.66666667,46.66666667,0,60,100,57.97044039
Himachal Pradesh,16.66666667,0,100,10,23.33333333,30.06848395
Haryana,0,46.15384615,100,46.15384615,7.692307692,45.19790113
Jharkhand,100,28.26086957,60.86956522,28.26086957,0,48.9949137
Jammu and Kashmir,100,0,45,42,72,42.38916337
Karnataka,43.24324324,13.51351351,35.13513514,0,100,67.70011187
Kerala,100,0,10,75,85,45.5722481
Maharashtra,0,43.75,100,37.5,81.25,57.4090004
Meghalaya,50,34.14634146,100,68.29268293,0,24.70076382
Manipur,31.57894737,0,55.26315789,7.894736842,100,32.95150995
Madhya Pradesh,100,35.71428571,78.57142857,96.42857143,0,32.36336112
Mizoram,97.77777778,0,97.77777778,100,0,30.12186289
Nagaland,29.41176471,0,29.41176471,29.41176471,100,32.24619031
Odisha,100,8.163265306,0,38.7755102,22.44897959,54.50014472
Punjab,100,87.5,79.16666667,8.333333333,0,31.50419891
Puducherry,100,75.75757576,0,0,0,41.38549566
Rajasthan,0,29.26829268,21.95121951,100,46.34146341,59.05243158
Sikkim,100,0,0,95.83333333,0,6.135829911
Telangana,55.17241379,96.55172414,100,13.79310345,0,36.42921746
Tamil Nadu,92.68292683,53.65853659,48.7804878,0,100,46.2975055
Tripura,67.5,70,0,70,100,29.32136059
Uttar Pradesh,52.38095238,0,57.14285714,33.33333333,100,61.0327363
Uttarakhand,41.17647059,100,29.41176471,0,74.50980392,37.55552769
West Bengal,76.19047619,0,100,64.28571429,73.80952381,35.53539217
